iso_code,continent,country,date,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,population,population_density,median_age,aged_65_older,aged_70_older,hospital_beds_per_thousand,life_expectancy,latitude,longitude,% of World Total Deaths,% of World Total Cases,% of World Population
MDA,Europe,Moldova,2022-05-03,504875.0,11285.0,125465.175,2804.406,4024025,123.655,37.6,10.864,6.955,5.8,71.9,47.411631,28.369885,0.188,0.113,0.051
FRA,Europe,France,2022-05-03,23064766.0,139312.0,342095.547,2066.269,67422000,122.578,42.0,19.718,13.079,5.98,82.66,46.227638,2.213749,2.325,5.184,0.86
AZE,Asia,Azerbaijan,2022-05-03,788958.0,9500.0,77172.205,929.246,10223344,119.309,32.4,6.018,3.871,4.7,73.0,40.143105,47.576927,0.159,0.177,0.13
SVK,Europe,Slovakia,2022-05-03,2190599.0,18663.0,401998.616,3424.862,5449270,113.128,41.2,15.07,9.167,5.82,77.54,48.669026,19.699024,0.311,0.492,0.069
ARE,Asia,United Arab Emirates,2022-05-03,882477.0,2301.0,88326.461,230.305,9991083,112.442,34.0,1.144,0.526,1.2,77.97,23.424076,53.847818,0.038,0.198,0.127
PRT,Europe,Portugal,2022-05-03,3322134.0,21182.0,326726.904,2083.218,10167923,112.371,46.2,21.502,14.924,3.39,82.05,39.399872,-8.224454,0.354,0.747,0.13
CUB,North America,Cuba,2022-05-03,1072474.0,8499.0,94762.464,750.961,11317498,110.408,43.1,14.738,9.719,5.2,78.8,21.521757,-77.781167,0.142,0.241,0.144
JOR,Asia,Jordan,2022-05-03,1638228.0,13849.0,159531.063,1348.619,10269022,109.285,23.2,3.81,2.361,1.4,74.53,30.585164,36.238414,0.231,0.368,0.131
HUN,Europe,Hungary,2022-05-03,1800046.0,44286.0,186839.914,4596.767,9634162,108.043,43.4,18.577,11.976,7.02,76.88,47.162494,19.503304,0.739,0.405,0.123
AUT,Europe,Austria,2022-05-03,2839297.0,14986.0,313974.831,1657.18,9043072,106.749,44.4,19.202,13.748,7.37,81.54,47.516231,14.550072,0.25,0.638,0.115
ETH,Africa,Ethiopia,2022-05-03,468930.0,7476.0,3978.156,63.422,117876226,104.957,19.8,3.526,2.063,0.3,66.6,9.145,40.489673,0.125,0.105,1.503
TUR,Asia,Turkey,2022-05-03,14326217.0,95379.0,168459.032,1121.542,85042736,104.914,31.6,8.153,5.061,2.81,77.69,38.963745,35.243322,1.592,3.22,1.084
ALB,Europe,Albania,2022-05-03,272030.0,3478.0,94687.173,1210.609,2872934,104.871,38.0,13.188,8.643,2.89,78.57,41.153332,20.168331,0.058,0.061,0.037
SLE,Africa,Sierra Leone,2022-05-03,7665.0,125.0,941.491,15.354,8141343,104.7,19.1,2.538,1.285,,54.7,8.460555,-11.779889,0.002,0.002,0.104
ARM,Asia,Armenia,2022-05-03,421226.0,8528.0,141916.386,2873.191,2968128,102.931,35.7,11.232,7.571,4.2,75.09,40.069099,45.038189,0.142,0.095,0.038
SVN,Europe,Slovenia,2022-05-03,902744.0,6351.0,434278.16,3055.241,2078723,102.619,44.5,19.062,12.93,4.5,81.32,46.151241,14.995463,0.106,0.203,0.027
BEN,Africa,Benin,2022-05-03,26575.0,163.0,2134.361,13.091,12451031,99.11,18.8,3.244,1.942,0.5,61.77,9.30769,2.315834,0.003,0.006,0.159
DMA,North America,Dominica,2022-05-03,11248.0,61.0,155849.914,845.203,72172,98.567,,,,3.8,75.0,15.414999,-61.370976,0.001,0.003,0.001
EGY,Africa,Egypt,2022-05-03,489876.0,24172.0,4698.675,231.847,104258327,97.999,25.3,5.159,2.891,1.6,71.99,26.820553,30.802498,0.403,0.11,1.329
MYS,Asia,Malaysia,2022-05-03,3595172.0,33173.0,109688.51,1012.106,32776195,96.254,29.9,6.293,3.407,1.9,76.16,4.210484,101.975766,0.554,0.808,0.418
CRI,North America,Costa Rica,2022-05-03,814583.0,8082.0,158508.387,1572.663,5139053,96.079,33.6,9.468,5.694,1.13,80.28,9.748917,-83.753428,0.135,0.183,0.066
ESP,Europe,Spain,2022-05-03,11100428.0,100413.0,237466.636,2148.092,46745211,93.105,45.5,19.436,13.799,2.97,83.56,40.463667,-3.74922,1.676,2.495,0.596
KHM,Asia,Cambodia,2022-05-03,132072.0,3040.0,7793.493,179.389,16946446,90.672,25.6,4.412,2.385,0.8,69.82,12.565679,104.990963,0.051,0.03,0.216
IRQ,Asia,Iraq,2022-05-03,2307555.0,25041.0,56036.702,608.096,41179351,88.125,20.0,3.186,1.957,1.4,70.6,33.223191,43.679291,0.418,0.519,0.525
KEN,Africa,Kenya,2022-05-03,323071.0,5640.0,5875.546,102.572,54985702,87.324,20.0,2.686,1.528,1.4,66.7,-0.023559,37.906193,0.094,0.073,0.701
TLS,Asia,Timor,2022-05-03,22741.0,129.0,16921.961,95.991,1343875,87.176,18.0,3.556,1.897,5.9,69.5,,,0.002,0.005,0.017
ROU,Europe,Romania,2022-05-03,2765169.0,63931.0,144563.047,3342.313,19127772,85.129,43.0,17.85,11.69,6.892,76.05,45.943161,24.96676,1.067,0.622,0.244
GRC,Europe,Greece,2022-05-03,2499259.0,26143.0,240991.223,2520.841,10370747,83.479,45.3,20.396,14.524,4.21,82.24,39.074208,21.824312,0.436,0.562,0.132
HND,North America,Honduras,2022-05-03,413699.0,10785.0,41110.926,1071.749,10062994,82.805,24.9,4.652,2.883,0.7,75.27,15.199999,-86.241905,0.18,0.093,0.128
MKD,Europe,North Macedonia,2022-05-03,299419.0,9075.0,143767.517,4357.406,2082661,82.6,39.1,13.26,8.16,4.28,75.8,,,0.151,0.067,0.027
SEN,Africa,Senegal,2022-05-03,85747.0,1961.0,4986.361,114.036,17196308,82.328,18.7,3.008,1.796,,67.94,14.497401,-14.452362,0.033,0.019,0.219
MMR,Asia,Myanmar,2022-05-03,597417.0,19386.0,10900.574,353.72,54806014,81.721,29.1,5.732,3.12,0.9,67.13,,,0.324,0.134,0.699
BRN,Asia,Brunei,2022-05-03,84844.0,140.0,192158.213,317.078,441532,81.347,32.4,4.591,2.382,2.7,75.86,4.535277,114.727669,0.002,0.019,0.006
SRB,Europe,Serbia,2022-05-03,1923977.0,15405.0,279991.827,2241.853,6871547,80.291,41.2,17.366,,5.609,76.0,44.016521,21.005859,0.257,0.432,0.088
MAR,Africa,Morocco,2022-05-03,1161586.0,16015.0,31104.368,428.842,37344787,80.08,29.6,6.769,4.209,1.1,76.68,31.791702,-7.09262,0.267,0.261,0.476
SWZ,Africa,Eswatini,2022-05-03,69297.0,1391.0,59108.523,1186.487,1172369,79.492,21.5,3.163,1.845,2.1,60.19,,,0.023,0.016,0.015
UKR,Europe,Ukraine,2022-05-03,5040518.0,112459.0,115962.423,2587.238,43466822,77.39,41.4,16.462,11.133,8.8,72.06,48.379433,31.16558,1.877,1.133,0.554
PYF,Oceania,French Polynesia,2022-05-03,68425.0,642.0,242183.242,2272.293,282534,77.324,32.7,7.775,4.593,,77.66,-17.679742,-149.406843,0.011,0.015,0.004
CIV,Africa,Cote d'Ivoire,2022-05-03,81546.0,795.0,3014.235,29.386,27053629,76.399,18.7,2.933,1.582,,57.78,,,0.013,0.018,0.345
UZB,Asia,Uzbekistan,2022-05-03,236840.0,1637.0,6979.068,48.238,33935765,76.134,28.2,4.469,2.873,4.0,71.72,41.377491,64.585262,0.027,0.053,0.433
TUN,Africa,Tunisia,2022-05-03,1005167.0,27922.0,84214.718,2339.356,11935764,74.228,32.7,8.001,5.075,2.3,76.7,33.886917,9.537499,0.466,0.226,0.152
HRV,Europe,Croatia,2022-05-03,1062953.0,15194.0,260421.932,3722.508,4081657,73.726,44.0,19.724,13.053,5.54,78.49,45.1,15.2,0.254,0.239,0.052
LSO,Africa,Lesotho,2022-05-03,32707.0,697.0,15148.673,322.825,2159067,73.562,22.2,4.506,2.647,,54.33,-29.609988,28.233608,0.012,0.007,0.028
BFA,Africa,Burkina Faso,2022-05-03,20751.0,375.0,965.293,17.444,21497097,70.151,17.6,2.409,1.358,0.4,61.58,12.238333,-1.561593,0.006,0.005,0.274
IRL,Europe,Ireland,2022-05-03,1315100.0,6531.0,263922.403,1310.681,4982904,69.874,38.7,13.928,8.678,2.96,82.3,53.41291,-8.24389,0.109,0.296,0.064
WSM,Oceania,Samoa,2022-05-03,33.0,,164.881,,200144,69.413,22.0,5.606,3.564,,73.32,-13.759029,-172.104629,,0.0,0.003
BIH,Europe,Bosnia and Herzegovina,2022-05-03,372139.0,15519.0,114032.075,4755.384,3263459,68.496,42.5,16.569,10.711,3.5,77.4,43.915886,17.679076,0.259,0.084,0.042
ECU,South America,Ecuador,2022-05-03,836216.0,35264.0,46746.078,1971.325,17888474,66.939,28.1,7.104,4.458,1.5,77.01,-1.831239,-78.183406,0.589,0.188,0.228
MEX,North America,Mexico,2022-05-03,5554392.0,319604.0,42640.084,2453.543,130262220,66.444,29.3,6.857,4.321,1.38,75.05,23.634501,-102.552784,5.334,1.248,1.661
GNB,Africa,Guinea-Bissau,2022-05-03,8027.0,167.0,3982.654,82.858,2015490,66.191,19.4,3.002,1.565,,58.32,11.803749,-15.180413,0.003,0.002,0.026
BGR,Europe,Bulgaria,2022-05-03,1100811.0,35811.0,159615.205,5192.517,6896655,65.18,44.7,20.801,13.272,7.454,75.05,42.733883,25.48583,0.598,0.247,0.088
GEO,Asia,Georgia,2022-05-03,1623672.0,16338.0,407981.058,4105.259,3979773,65.032,38.7,14.864,10.244,2.6,73.77,42.315407,43.356892,0.273,0.365,0.051
TZA,Africa,Tanzania,2022-05-03,33620.0,798.0,546.681,12.976,61498438,64.699,17.7,3.108,1.874,0.7,65.46,-6.369028,34.888822,0.013,0.008,0.784
TJK,Asia,Tajikistan,2022-05-03,17786.0,125.0,1824.275,12.821,9749625,64.281,23.3,3.466,2.155,4.8,71.1,38.861034,71.276093,0.002,0.004,0.124
PAN,North America,Panama,2022-05-03,757487.0,8111.0,172879.756,1851.157,4381583,55.133,29.7,7.918,5.03,2.3,78.51,8.537981,-80.782127,0.135,0.17,0.056
AFG,Asia,Afghanistan,2022-05-03,174331.0,7622.0,4376.28,191.337,39835428,54.422,18.6,2.581,1.337,0.5,64.83,33.93911,67.709953,0.127,0.039,0.508
YEM,Asia,Yemen,2022-05-03,11775.0,2135.0,386.184,70.021,30490639,53.508,20.3,2.922,1.583,0.7,66.12,15.552727,48.516388,0.036,0.003,0.389
GIN,Africa,Guinea,2022-05-03,36397.0,440.0,2696.626,32.599,13497237,51.755,19.0,3.135,1.733,0.3,61.6,9.945587,-9.696645,0.007,0.008,0.172
NIC,North America,Nicaragua,2022-05-03,18105.0,225.0,2701.28,33.57,6702379,51.667,27.3,5.445,3.519,0.9,74.48,12.865416,-85.207229,0.004,0.004,0.085
CMR,Africa,Cameroon,2022-05-03,119322.0,1926.0,4382.929,70.746,27224262,50.885,18.8,3.165,1.919,1.3,59.29,7.369722,12.354722,0.032,0.027,0.347
IRN,Asia,Iran,2022-05-03,7084306.0,137747.0,83316.586,1620.005,85028760,49.831,32.4,5.44,3.182,1.5,76.68,32.427908,53.688046,2.299,1.592,1.084
FJI,Oceania,Fiji,2022-05-03,64019.0,834.0,70903.833,923.691,902899,49.562,28.6,6.224,3.284,2.3,67.44,-16.578193,179.414413,0.014,0.014,0.012
